Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
71335-1909,Oxycodone and Acetaminophen,Bryant Ranch Prepack,325; 7.5,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$53.97,10
71335-2026,CARVEDILOL,Bryant Ranch Prepack,12.5,mg/1,"Adrenergic alpha-Antagonists [MoA], Adrenergic beta1-Antagonists [MoA], Adrenergic beta2-Antagonists [MoA], alpha-Adrenergic Blocker [EPC], beta-Adrenergic Blocker [EPC]",$151.31,87
49702-253,cabotegravir and rilpivirine,ViiV Healthcare Company,,,,$88.08,55
72887-682,oxycodone and acetaminophen,FH2 Pharma LLC,300; 7.5,mg/1; mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$65.99,43
11994-121,GALLIUM CITRATE GA-67,"Lantheus Medical Imaging, Inc.",2,mCi/mL,,$82.03,44
71872-7096,Propranolol Hydrochloride,"Medical Purchasing Solutions, LLC",1,mg/mL,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$87.62,64
72606-001,linezolid,"CELLTRION USA, INC.",600,mg/1,"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",$0.00,80
44087-0044,interferon beta-1a,"EMD Serono, Inc.",44,ug/.5mL,"Interferon beta [EPC], Interferon-beta [CS]",$88.30,37
62332-624,MUPIROCIN,"Alembic Pharmaceuticals, Inc.",20,mg/g,"RNA Synthetase Inhibitor Antibacterial [EPC], RNA Synthetase Inhibitors [MoA]",$19.95,33
68788-6820,Lisinopril,"Preferred Pharmaceuticals, Inc.",2.5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$49.32,13
64380-906,CLARITHROMYCIN,Strides Pharma Science Limited,500,mg/1,"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",$181.63,45
72603-131,DOFETILIDE,NorthStar RxLLC,0.25,mg/1,Antiarrhythmic [EPC],$12.23,63
0338-0216,Dextrose Monohydrate,Baxter Healthcare Corporation,5,g/100mL,,$6.62,86
68788-7056,Lovastatin,Preferred Pharmaceuticals Inc.,10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$164.32,8
67877-617,Methylphenidate Hydrochloride,"Ascend Laboratories, LLC",10,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$39.51,62
52584-096,sodium bicarbonate,"General Injectables & Vaccines, Inc.",42,mg/mL,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC]",$102.08,54
44567-811,Esmolol Hydrochloride,"WG Critical Care, LLC",10,mg/mL,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$36.83,55
59767-024,pancrelipase,"Digestive Care, Inc.",90750; 24000; 86250,[USP'U]/1; [USP'U]/1; [USP'U]/1,,$8.19,28
63629-8758,Clotrimazole and Betamethasone Dipropionate,Bryant Ranch Prepack,.5; 10,mg/g; mg/g,"Azole Antifungal [EPC], Azoles [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$61.44,22
0338-0295,Sorbitol,Baxter Healthcare Corporation,30,g/1000mL,,$3.36,23
69097-982,Vilazodone hydrochloride,Cipla USA Inc.,40,mg/1,,$158.37,22
71872-7092,DEXAMETHASONE SODIUM PHOSPHATE,"Medical Purchasing Solutions, LLC",4,mg/mL,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$15.09,84
55154-5730,Acetylcysteine,"Cardinal Health 107, LLC",100,mg/mL,"Antidote [EPC], Antidote for Acetaminophen Overdose [EPC], Decreased Respiratory Secretion Viscosity [PE], Increased Glutathione Concentration [PE], Mucolytic [EPC], Reduction Activity [MoA]",$37.82,69
42291-500,Potassium Citrate,AvKARE,15,meq/1,"Acidifying Activity [MoA], Anti-coagulant [EPC], Calcium Chelating Activity [MoA], Calculi Dissolution Agent [EPC], Decreased Coagulation Factor Activity [PE]",$55.76,93
69117-0025,Paroxetine,"Yiling Pharmaceutical, Inc.",20,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$110.15,36
24338-852,Dextroamphetamine Sulfate,"Arbor Pharmaceuticals, Inc.",7.5,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$93.30,68
67296-0685,Clonidine Hydrochloride,"RedPharm Drug, Inc.",0.1,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$40.39,7
70771-1582,Fluphenazine Hydrochloride,Cadila Healthcare Limited,2.5,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$104.76,78
0641-6042,Ketorolac Tromethamine,Hikma Pharmaceuticals USA Inc.,30,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$149.50,72
70756-807,Lansoprazole,Lifestar Pharma LLC.,30,mg/1,"Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$32.72,66
55566-1801,somatropin,Ferring Pharmaceuticals Inc.,,,,$6.88,13
60793-860,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,200,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$101.64,77
0904-7358,lurasidone hydrochloride,Major Pharmaceuticals,80,mg/1,Atypical Antipsychotic [EPC],$48.52,14
71872-7247,SODIUM BICARBONATE,"Medical Purchasing Solutions, LLC",84,mg/mL,"Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC]",$23.39,43
64980-186,Griseofulvin,Rising Pharmaceuticals Inc.,500,mg/1,"Decreased Mitosis [PE], Microtubule Inhibition [PE], Tubulin Inhibiting Agent [EPC]",$2.22,84
71335-0833,Amlodipine besylate,Bryant Ranch Prepack,2.5,mg/1,"Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$112.76,100
10267-5060,Doxepin Hydrochloride,Contract Pharmacal Corp.,25,mg/1,Tricyclic Antidepressant [EPC],$70.07,100
50090-1150,bupropion hydrochloride,A-S Medication Solutions,150,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$6.43,92
0338-9147,dextrose monohydrate,Baxter Healthcare Corporation,5,g/100mL,,$2.93,61
0548-5410,Medroxyprogesterone acetate,"Amphastar Pharmaceuticals, Inc.",150,mg/mL,"Progesterone Congeners [CS], Progestin [EPC]",$30.82,90
0115-5445,BUPROPION HYDROCHLORIDE,Amneal Pharmaceuticals of New York LLC,200,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$102.32,22
0527-1632,Triamterene and Hydrochlorothiazide,"Lannett Company, Inc.",25; 37.5,mg/1; mg/1,"Decreased Renal K+ Excretion [PE], Increased Diuresis [PE], Increased Diuresis [PE], Potassium-sparing Diuretic [EPC], Thiazide Diuretic [EPC], Thiazides [CS]",$24.65,4
57237-146,Amlodipine and Benazepril Hydrochloride,"Rising Health, LLC",10; 20,mg/1; mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA], Calcium Channel Antagonists [MoA], Decreased Blood Pressure [PE], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$9.13,39
0378-0232,furosemide,Mylan Pharmaceuticals Inc.,80,mg/1,"Increased Diuresis at Loop of Henle [PE], Loop Diuretic [EPC]",$107.76,42
50102-235,norgestimate and ethinyl estradiol,"Afaxys Pharma, LLC",,,,$2.99,30
68180-740,Silodosin,"Lupin Pharmaceuticals, Inc.",4,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$8.42,65
68071-2844,Modafinil,"NuCare Pharmaceuticals,Inc.",200,mg/1,"Central Nervous System Stimulation [PE], Increased Sympathetic Activity [PE], Sympathomimetic-like Agent [EPC]",$46.08,87
72241-027,Acyclovir,Modavar Pharmaceuticals LLC,800,mg/1,"DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$217.96,6
43063-988,Doxycycline Hyclate,"PD-Rx Pharmaceuticals, Inc.",100,mg/1,"Tetracycline-class Drug [EPC], Tetracyclines [CS]",$79.98,13
42192-715,Ciclopirox,"Acella Pharmaceuticals, LLC",80,mg/mL,"Decreased DNA Replication [PE], Decreased Protein Synthesis [PE], Decreased RNA Replication [PE], Protein Synthesis Inhibitors [MoA]",$100.01,74
62135-393,ciprofloxacin,"Chartwell RX, LLC",,,,$31.23,58
71610-168,ATORVASTATIN CALCIUM,"Aphena Pharma Solutions - Tennessee, LLC",40,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$53.05,2
68084-099,Atorvastatin Calcium,American Health Packaging,40,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$206.17,57
68084-775,Tizanidine,American Health Packaging,2,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$14.51,55
53045-202,Sodium Fluoride,"Dharma Research, inc.",6.027,g/490g,,$28.60,92
64850-503,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","Elite Laboratories, Inc.",3.125; 3.125; 3.125; 3.125,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$100.48,44
33342-402,LEVOTHYROXINE SODIUM,Macleods Pharmaceuticals Limited,175,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$90.43,47
63539-221,Alprostadil,U.S. Pharmaceuticals,20,ug/.5mL,"Genitourinary Arterial Vasodilation [PE], Prostaglandin Analog [EPC], Prostaglandin E1 Agonist [EPC], Prostaglandin Receptor Agonists [MoA], Prostaglandins [CS], Venous Vasodilation [PE]",$22.88,18
0115-1487,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Amneal Pharmaceuticals of New York LLC,2.5; 2.5; 2.5; 2.5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$0.34,57
72241-029,Paroxetine,Modavar Pharmaceuticals LLC,12.5,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$45.64,37
65841-747,PROPRANOLOL HYDROCHLORIDE,Zydus Lifesciences Limited,120,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$102.28,26
70710-1716,Sildenafil Citrate,Zydus Pharmaceuticals (USA) Inc.,10,mg/mL,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",$144.91,40
51672-1316,Alclometasone dipropionate,"Taro Pharmaceuticals U.S.A., Inc.",0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$28.24,78
51407-324,Lansoprazole,"Golden State Medical Supply, Inc.",30,mg/1,"Inhibition Gastric Acid Secretion [PE], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$27.45,25
69238-1425,Vigabatrin,Amneal Pharmaceuticals NY LLC,500,mg/1,Anti-epileptic Agent [EPC],$17.09,26
51672-4139,Lamotrigine,"Taro Pharmaceuticals U.S.A., Inc.",5,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",$5.27,66
51662-1291,DOPAMINE HCI,"HF Acquisition Co LLC, DBA HealthFirst",40,mg/mL,"Catecholamine [EPC], Catecholamines [CS]",$37.58,18
61919-854,ATENOLOL,Direct_Rx,100,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$0.30,23
70518-0186,ATORVASTATIN CALCIUM,REMEDYREPACK INC.,20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$32.42,89
43063-947,Tamsulosin Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",0.4,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$102.33,79
13668-331,Trazodone Hydrochloride,Torrent Pharmaceuticals Limited,100,mg/1,Serotonin Reuptake Inhibitor [EPC],$44.96,43
71205-966,Sevelamer Carbonate,Proficient Rx LP,800,mg/1,"Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",$18.27,72
68788-7318,Amoxicillin,Preferred Pharmaceuticals Inc.,400,mg/5mL,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$137.63,70
63187-577,lidocaine and prilocaine,Proficient Rx LP,25; 25,mg/g; mg/g,"Amide Local Anesthetic [EPC], Amide Local Anesthetic [EPC], Amides [CS], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE], Local Anesthesia [PE]",$28.07,80
55150-355,IRINOTECAN HYDROCHLORIDE,AuroMedics Pharma LLC,20,mg/mL,"Topoisomerase Inhibitor [EPC], Topoisomerase Inhibitors [MoA]",$70.70,34
0781-8086,Pirfenidone,Sandoz Inc,801,mg/1,"Pyridone [EPC], Pyridones [CS]",$76.03,65
57237-008,Mirtazapine,"Rising Health, LLC",15,mg/1,,$2.94,89
50090-4622,Oxybutynin Chloride,A-S Medication Solutions,5,mg/1,"Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$0.81,71
68788-8127,BENZONATATE,Preferred Pharmaceuticals Inc.,200,mg/1,"Decreased Tracheobronchial Stretch Receptor Activity [PE], Non-narcotic Antitussive [EPC]",$44.21,74
0093-5955,Arformoterol tartrate,"Teva Pharmaceuticals USA, Inc.",15,ug/2mL,"Adrenergic beta2-Agonists [MoA], beta2-Adrenergic Agonist [EPC]",$33.23,66
68071-2228,Glimepiride,"NuCare Pharmaceuticals,Inc.",4,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$9.63,35
71205-908,LEUCOVORIN CALCIUM,Proficient Rx LP,5,mg/1,"Folate Analog [EPC], Folic Acid [CS]",$117.05,18
66064-1043,Allopurinol,Harman Finochem Limited,100,mg/1,"Xanthine Oxidase Inhibitor [EPC], Xanthine Oxidase Inhibitors [MoA]",$14.24,39
45629-089,Tivozanib,"AVEO Pharmaceuticals, Inc.",0.89,mg/1,"Kinase Inhibitor [EPC], Tyrosine Kinase Inhibitors [MoA]",$27.96,12
62332-043,IRBESARTAN,Alembic Pharmaceuticals Inc.,300,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$34.78,34
50458-320,risperidone,"Janssen Pharmaceuticals, Inc.",2,mg/1,Atypical Antipsychotic [EPC],$45.47,20
0781-1205,Penicillin V Potasium,Sandoz Inc,250,mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$21.49,46
0904-7262,OXCARBAZEPINE,Major Pharmaceuticals,150,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$74.22,19
63187-042,Pantoprazole Sodium,Proficient Rx LP,20,mg/1,"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$123.38,56
71335-1319,tramadol hydrochloride,Bryant Ranch Prepack,50,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$105.56,5
70518-2283,Epinephrine,REMEDYREPACK INC.,0.3,mg/.3mL,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Agonists [MoA], Catecholamine [EPC], Catecholamines [CS], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Agonist [EPC]",$3.64,90
70518-3688,Glipizide,REMEDYREPACK INC.,5,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$86.85,51
20703-002,Oxygen,General Welding Supply Corp.,995,mL/L,,$2.93,30
60267-705,Sodium Thiosulfate,Hope Pharmaceuticals,250,mg/mL,,$92.36,22
70934-842,Citalopram Hydrobromide,"Denton Pharma, Inc. DBA Northwind Pharmaceuticals",10,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$162.20,16
51801-001,POTASSIUM BICARBONATE,Nomax Inc.,977.5,mg/1,,$9.17,13
72789-090,SILODOSIN,"PD-Rx Pharmaceuticals, Inc.",8,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$57.68,65
62756-200,TIAGABINE HYDROCHLORIDE,"Sun Pharmaceutical Industries, Inc.",2,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$27.64,79
0078-0526,nilotinib,Novartis Pharmaceuticals Corporation,200,mg/1,"Bcr-Abl Tyrosine Kinase Inhibitors [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Kinase Inhibitor [EPC], P-Glycoprotein Inhibitors [MoA], UGT1A1 Inhibitors [MoA]",$84.34,21
64380-707,Lamivudine and Zidovudine,Strides Pharma Science Limited,150; 300,mg/1; mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Analog [EXT], Nucleoside Analog [EXT], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleoside Reverse Transcriptase Inhibitors [MoA]",$49.46,70
65162-515,Spironolactone,Amneal Pharmaceuticals LLC,100,mg/1,"Aldosterone Antagonist [EPC], Aldosterone Antagonists [MoA]",$135.89,95
68850-012,Ethambutol hydrochloride,"STI Pharma, LLC",400,mg/1,Antimycobacterial [EPC],$114.91,16
72189-447,Rizatriptan Benzoate,Direct_Rx,10,mg/1,"Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]",$47.06,59
76420-740,"marcaine, lidocaine, kenalog, povidone iodine","Asclemed USA, Inc.",,,,$39.34,77
72888-074,OXCARBAZEPINE,Advagen Pharma Ltd,300,mg/5mL,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$2.29,54
0781-3409,Ampicillin Sodium,Sandoz Inc,10,g/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$13.35,30
50419-453,Estradiol,Bayer HealthCare Pharmaceuticals Inc.,0.075,mg/d,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC]",$72.12,35
43063-906,Terbinafine Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",250,mg/1,"Allylamine Antifungal [EPC], Allylamine [CS]",$197.19,3
55700-816,venlafaxine hydrochloride,"Quality Care Products, LLC",75,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$4.54,96
65336-001,Oxygen,Taylor Drug Operating Services dba Taylor Drug,99,L/100L,,$17.74,8
0487-0301,Albuterol Sulfate,Nephron Pharmaceuticals Corporation,0.63,mg/3mL,"Adrenergic beta2-Agonists [MoA], beta2-Adrenergic Agonist [EPC]",$111.90,51
59651-166,Emtricitabine and Tenofovir Disoproxil Fumarate,Aurobindo Pharma Limited,133; 200,mg/1; mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleoside Reverse Transcriptase Inhibitors [MoA], Nucleosides [CS], Nucleosides [CS]",$75.28,21
70934-756,Methocarbamol Tablets,"Denton Pharma, Inc. dba Northwind Pharmaceuticals",750,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$12.82,89
65862-202,Losartan Potassium,Aurobindo Pharma Limited,50,mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC]",$36.60,68
71085-001,LIDOCAINE,"IPG Pharmaceuticals, Inc.",50,mg/g,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$72.91,17
43547-270,ropinirole hydrochloride,"SOLCO HEALTHCARE US, LLC",1,mg/1,"Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]",$18.36,85
68083-535,Arsenic Trioxide,Gland Pharma Limited,1,mg/mL,,$137.22,100
55154-7888,ROPINIROLE HYDROCHLORIDE,"Cardinal Health 107, LLC",0.25,mg/1,"Dopamine Agonists [MoA], Nonergot Dopamine Agonist [EPC]",$48.78,32
68382-007,Lamotrigine,Zydus Pharmaceuticals USA Inc.,50,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE], Dihydrofolate Reductase Inhibitors [MoA], Mood Stabilizer [EPC], Organic Cation Transporter 2 Inhibitors [MoA]",$40.72,72
57837-001,OXYGEN,Community Surgical Supply of Toms River Inc,992,mL/L,,$9.18,66
68462-270,atomoxetine,"Glenmark Pharmaceuticals Inc., USA",80,mg/1,"Norepinephrine Reuptake Inhibitor [EPC], Norepinephrine Uptake Inhibitors [MoA]",$51.68,21
0143-9681,Glycopyrrolate,Hikma Pharmaceuticals USA Inc.,0.2,mg/mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$72.45,77
63187-463,Allopurinol,Proficient Rx LP,100,mg/1,"Xanthine Oxidase Inhibitor [EPC], Xanthine Oxidase Inhibitors [MoA]",$5.32,57
68071-2793,Naproxen,"NuCare Pharmaceuticals,Inc.",250,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$55.11,15
53002-2630,ulipristal acetate,"RPK Pharmaceuticals, Inc.",30,mg/1,"Progesterone Agonist/Antagonist [EPC], Selective Progesterone Receptor Modulators [MoA]",$74.81,20
61919-235,PREDNISONE,Direct_Rx,10,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$1.78,77
31722-591,METOPROLOL SUCCINATE,"Camber Pharmaceuticals, Inc.",100,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$213.11,100
68071-2843,Amitriptyline Hydrochloride,"NuCare Pharmaceuticals,Inc.",10,mg/1,Tricyclic Antidepressant [EPC],$0.53,86
63187-248,Gabapentin,Proficient Rx LP,100,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$0.65,29
0406-9204,FENTANYL CITRATE,SpecGx LLC,400,ug/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$11.69,62
14445-149,apixaban,Indoco Remedies Limited,2.5,mg/1,"Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",$14.89,15
70121-1604,Isoproterenol Hydrochloride,Amneal Pharmaceuticals LLC,0.2,mg/mL,"Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",$64.84,74
55150-334,CARBOPLATIN,AuroMedics Pharma LLC,150,mg/15mL,"Platinum-based Drug [EPC], Platinum-containing Compounds [EXT]",$69.90,37
70518-1635,Olanzapine,REMEDYREPACK INC.,10,mg/1,Atypical Antipsychotic [EPC],$8.51,43
50261-104,estradiol,"TherapeuticsMD, Inc.",4,ug/1,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC]",$86.08,17
65162-300,Venlafaxine,Amneal Pharmaceuticals LLC,25,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$28.54,34
68084-343,Topiramate,American Health Packaging,50,mg/1,"Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$164.60,86
0378-0460,maxzide,Mylan Pharmaceuticals Inc.,50; 75,mg/1; mg/1,"Decreased Renal K+ Excretion [PE], Increased Diuresis [PE], Increased Diuresis [PE], Potassium-sparing Diuretic [EPC], Thiazide Diuretic [EPC], Thiazides [CS]",$59.62,86
0517-0710,fomepizole,"American Regent, Inc.",1,g/mL,Antidote [EPC],$17.31,42
55154-7993,Gabapentin,"Cardinal Health 107, LLC",400,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$82.86,39
71610-459,Diazepam,"Aphena Pharma Solutions - Tennessee, LLC",5,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$124.73,52
42571-102,Glimepiride,Micro Labs Limited,3,mg/1,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",$19.36,73
63629-8127,Sertraline Hydrochloride,Bryant Ranch Prepack,25,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$164.05,23
42571-128,BIMATOPROST,Micro Labs Limited,0.3,mg/mL,"Prostaglandin Analog [EPC], Prostaglandins [CS]",$5.98,30
71335-0762,Sulfamethoxazole and Trimethoprim,Bryant Ranch Prepack,800; 160,mg/1; mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]",$181.87,20
51285-092,Levonorgestrel/Ethinyl Estradiol and Ethinyl Estradiol,"Teva Women's Health, Inc.",,,,$11.31,14
63187-994,Diclofenac Sodium,Proficient Rx LP,100,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$13.64,50
53877-007,Anticoagulant Citrate Phosphate Dextrose (CPD) and AS-5 Red Cell Preservative,Terumo Corporation,,,,$31.72,49
